"id","age","gender","education","country","ethnicity","personality_neuroticism","personality_extraversion","personality_openness","personality_agreeableness","personality_conscientiousness","personality_impulsiveness","personality_sensation","consumption_alcohol","consumption_amphetamines","consumption_caffeine","consumption_cannabis","consumption_chocolate","consumption_mushrooms","consumption_nicotine","consumption_cocaine_last_month"
"train_0042","65+","male","Professional certificate/ diploma","USA","Mixed-Black/Asian",47.8,35.5,34.9,39,56,21.5,46.6,"used in last day","never used","used in last day","used over a decade ago","used in last day","never used","used over a decade ago","No"
"train_0043","18-24","female","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",52,64.7,79.8,41.2,51.8,80.9,82.6,"used in last month","used in last year","used in last day","used in last week","used in last day","never used","used in last year","No"
"train_0044","18-24","female","University degree","Australia","Mixed-Black/Asian",59.2,35.5,55.3,61,40.6,42.8,82.6,"used in last month","never used","used in last week","used in last year","used in last week","used in last year","never used","No"
"train_0045","18-24","male","University degree","USA","Mixed-Black/Asian",49.2,35.5,30,43.5,53.7,56.5,30.8,"used in last month","never used","used in last month","used in last decade","used in last week","never used","used in last decade","No"
"train_0046","25-34","male","Masters degree","USA","Mixed-Black/Asian",15.5,54.9,17.2,79.4,79.5,42.8,38.8,"used in last week","never used","used in last day","used in last decade","used in last week","never used","never used","No"
"train_0047","25-34","male","Doctorate degree","USA","Mixed-Black/Asian",39.7,64.7,47.9,76.2,71.1,33.8,54,"used in last week","never used","used in last day","used over a decade ago","used in last week","never used","used in last decade","No"
"train_0048","55-64","male","Masters degree","USA","Mixed-Black/Asian",47.8,69.6,67.3,73.3,66.4,33.8,22.4,"used in last day","never used","used in last day","never used","used in last day","never used","never used","No"
"train_0049","35-44","female","Left school at 16 years","Australia","Mixed-Black/Asian",44.5,31.2,45.7,56.3,47.9,42.8,30.8,"used in last year","used in last decade","used in last day","used in last decade","used in last week","never used","used in last day","No"
"train_0050","18-24","female","Professional certificate/ diploma","Australia","Mixed-White/Black",57.6,47.6,76.3,68.6,40.6,56.5,54,"used in last month","never used","used in last year","used in last month","used in last year","never used","never used","No"
"train_0051","18-24","female","Left school at 18 years","Australia","Mixed-White/Asian",54.7,50.1,52.7,43.5,63.6,33.8,46.6,"used in last day","used in last day","used in last week","used in last month","used in last week","used in last decade","used in last month","No"
"train_0052","35-44","male","University degree","USA","Mixed-Black/Asian",63.7,39.4,39.3,70.9,66.4,42.8,62,"used in last week","never used","used in last day","never used","used in last week","never used","used over a decade ago","No"
"train_0053","55-64","male","Professional certificate/ diploma","USA","Mixed-Black/Asian",30.1,50.1,39.3,58.5,46,33.8,13.2,"used in last week","never used","used in last year","never used","used in last week","never used","never used","No"
"train_0054","18-24","female","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",62.3,69.6,76.3,63.6,37,70.5,82.6,"used in last day","used in last year","used in last day","used in last week","used in last day","used in last year","used in last day","No"
"train_0055","25-34","female","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",80.9,23.1,55.3,70.9,37,50.4,38.8,"used in last year","never used","used in last day","used in last year","used in last year","never used","used in last day","No"
"train_0056","25-34","male","Doctorate degree","USA","Mixed-Black/Asian",52,57.3,60.2,61,47.9,80.9,82.6,"used in last week","used in last decade","used in last day","used in last decade","used in last day","used in last decade","used in last day","No"
"train_0057","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",42.8,47.6,39.3,66.1,56,21.5,30.8,"used in last year","never used","used in last year","used in last day","used in last month","used in last year","used in last year","No"
"train_0058","18-24","female","Left school before 16 years","USA","Mixed-Black/Asian",80.9,29,57.8,22.2,26.3,42.8,54,"used in last year","never used","never used","used in last day","used in last month","never used","never used","No"
"train_0059","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",57.6,59.7,52.7,47.8,46,56.5,82.6,"used in last year","used in last year","used in last day","used in last day","used in last week","used in last year","used in last day","No"
"train_0060","18-24","female","University degree","UK","Mixed-Black/Asian",14,76.6,27.8,0,47.9,56.5,82.6,"used in last week","used in last day","used in last day","used in last month","used in last week","used in last year","used in last day","Yes"
"train_0061","18-24","male","Masters degree","USA","Mixed-Black/Asian",49.2,37.7,52.7,58.5,58.4,21.5,22.4,"used in last month","never used","used in last week","used in last decade","used in last month","never used","used in last decade","No"
"train_0062","18-24","male","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",75.2,43.3,60.2,58.5,56,50.4,54,"used in last week","never used","used in last day","never used","used in last day","never used","used in last day","No"
"train_0063","25-34","female","Masters degree","USA","Mixed-Black/Asian",53.4,52.6,45.7,56.3,51.8,33.8,62,"used in last week","never used","used in last day","used in last year","used in last week","never used","used in last day","No"
"train_0064","18-24","female","Masters degree","USA","Mixed-Black/Asian",57.6,50.1,57.8,41.2,51.8,63,54,"used in last week","never used","used in last day","used in last decade","used in last day","never used","never used","No"
"train_0065","45-54","male","Masters degree","USA","Asian",60.8,52.6,50.1,49.8,68.9,42.8,30.8,"used in last week","never used","never used","never used","never used","never used","used in last week","No"
"train_0066","25-34","male","Doctorate degree","USA","Mixed-Black/Asian",37.7,50.1,70.2,79.4,79.5,21.5,46.6,"used in last day","never used","used in last week","used in last decade","used in last week","never used","used in last decade","No"
"train_0067","45-54","female","Professional certificate/ diploma","Ireland","Mixed-Black/Asian",44.5,50.1,47.9,32.5,63.6,33.8,62,"used in last year","used in last decade","used in last day","used in last day","used in last week","used over a decade ago","used in last day","No"
"train_0068","55-64","female","University degree","USA","Mixed-Black/Asian",41.3,43.3,64.7,49.8,47.9,80.9,54,"used in last decade","never used","never used","used over a decade ago","used in last day","used over a decade ago","used in last day","No"
"train_0069","18-24","female","University degree","Australia","Mixed-Black/Asian",62.3,23.1,67.3,43.5,20.5,42.8,62,"used in last week","used in last year","used in last month","used in last month","used in last day","never used","used in last year","No"
"train_0070","35-44","male","Professional certificate/ diploma","USA","Mixed-Black/Asian",73.5,31.2,27.8,20,38.7,56.5,54,"used in last decade","never used","used in last day","never used","used in last week","never used","used over a decade ago","No"
"train_0071","18-24","male","Professional certificate/ diploma","UK","Mixed-Black/Asian",78.7,29,23.4,36.8,83.7,21.5,22.4,"used in last month","never used","used in last month","used in last week","used in last day","used in last year","never used","Yes"
"train_0072","35-44","male","Professional certificate/ diploma","USA","Mixed-Black/Asian",41.3,57.3,43.6,58.5,47.9,42.8,62,"used in last week","used over a decade ago","used in last day","used in last day","used in last year","used over a decade ago","used in last day","No"
"train_0073","35-44","male","Masters degree","USA","Mixed-Black/Asian",23.7,52.6,76.3,76.2,66.4,33.8,30.8,"used over a decade ago","used over a decade ago","used in last day","used over a decade ago","used in last week","used over a decade ago","used in last day","No"
"train_0074","18-24","female","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",57.6,43.3,70.2,28.6,47.9,42.8,71.1,"used in last day","never used","used in last year","used in last month","used in last month","used in last year","used in last year","No"
"train_0075","25-34","male","University degree","Australia","Mixed-Black/Asian",80.9,59.7,76.3,34.5,40.6,70.5,82.6,"used in last week","used in last day","used in last day","used in last day","used in last week","never used","used in last decade","No"
"train_0076","35-44","male","Masters degree","USA","Mixed-Black/Asian",53.4,47.6,45.7,61,46,63,82.6,"used in last day","never used","used in last day","used in last decade","used in last decade","never used","used in last day","No"
"train_0077","45-54","male","Masters degree","USA","Mixed-Black/Asian",30.1,52.6,57.8,63.6,66.4,21.5,22.4,"used in last week","never used","used in last day","used over a decade ago","used in last day","never used","used over a decade ago","No"
"train_0078","18-24","female","Left school at 18 years","USA","Mixed-Black/Asian",42.8,33.3,43.6,20,88,42.8,71.1,"used in last day","used in last year","used in last day","used in last day","used in last day","used in last year","used in last week","No"
"train_0079","25-34","female","Masters degree","USA","Mixed-Black/Asian",60.8,57.3,60.2,58.5,35.4,50.4,22.4,"used in last week","never used","used in last day","used in last decade","never used","never used","used over a decade ago","No"
"train_0080","18-24","male","University degree","USA","Mixed-Black/Asian",76.9,31.2,41.4,41.2,51.8,21.5,62,"used in last month","never used","used in last day","used in last decade","used in last month","never used","used in last decade","No"
"train_0081","45-54","male","Left school at 18 years","Other","Mixed-Black/Asian",42.8,59.7,47.9,56.3,63.6,33.8,38.8,"used over a decade ago","used in last day","used in last week","used in last day","used in last week","used in last decade","used in last day","No"
"train_0082","18-24","female","Left school at 18 years","Australia","Mixed-Black/Asian",59.2,59.7,70.2,34.5,44.1,70.5,82.6,"used in last day","used in last day","used in last day","used in last day","used in last day","used in last week","used in last year","No"
"train_0083","45-54","female","University degree","USA","Mixed-Black/Asian",46.2,23.1,64.7,36.8,51.8,42.8,38.8,"used in last day","used over a decade ago","used in last day","used in last month","used in last week","used in last decade","never used","No"
"train_0084","25-34","male","Masters degree","New Zealand","Mixed-White/Asian",66.6,20.7,45.7,49.8,56,33.8,0,"used in last day","never used","used in last day","used in last decade","used in last day","never used","never used","No"
"train_0085","25-34","male","Masters degree","USA","Mixed-Black/Asian",66.6,64.7,37.2,41.2,47.9,21.5,22.4,"used in last week","never used","used in last day","used in last year","used in last day","never used","used in last week","No"
"train_0086","35-44","female","Masters degree","USA","Asian",42.8,57.3,41.4,51.9,63.6,42.8,38.8,"used in last month","never used","used in last day","never used","used in last day","never used","never used","No"
"train_0087","25-34","male","Some college or university, no certificate or degree","UK","Mixed-Black/Asian",37.7,52.6,50.1,66.1,58.4,33.8,54,"used in last week","never used","used in last day","used in last day","used in last day","used in last decade","used in last day","No"
"train_0088","25-34","male","Professional certificate/ diploma","USA","Mixed-Black/Asian",31.7,47.6,34.9,63.6,51.8,33.8,38.8,"used in last year","used in last decade","used in last year","used in last year","used in last year","used in last decade","used in last year","No"
"train_0089","25-34","male","Professional certificate/ diploma","Australia","Mixed-Black/Asian",62.3,31.2,64.7,58.5,49.9,56.5,71.1,"used in last week","used over a decade ago","used in last week","used in last day","used in last week","used in last decade","used in last decade","No"
"train_0090","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",52,41.2,73.1,61,33.6,33.8,71.1,"used in last month","used in last year","used in last day","used in last day","used in last day","used in last week","used in last year","No"
"train_0091","18-24","male","University degree","Australia","Mixed-Black/Asian",75.2,35.5,73.1,36.8,30,100,100,"used in last day","used in last month","used in last week","used in last day","used in last day","used in last year","used in last day","Yes"
"train_0092","45-54","female","University degree","Australia","Mixed-Black/Asian",50.6,59.7,62.5,61,68.9,42.8,54,"used in last week","used over a decade ago","used in last day","used in last week","used in last day","used over a decade ago","used over a decade ago","No"
"train_0093","45-54","male","Masters degree","USA","Mixed-Black/Asian",66.6,47.6,57.8,66.1,71.1,21.5,13.2,"used in last day","used over a decade ago","used in last month","used over a decade ago","used in last day","used over a decade ago","used over a decade ago","No"
"train_0094","35-44","male","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",47.8,52.6,23.4,43.5,56,21.5,38.8,"used in last month","never used","used in last day","used over a decade ago","used in last day","never used","used over a decade ago","No"
"train_0095","25-34","male","University degree","USA","Mixed-Black/Asian",66.6,39.4,47.9,39,60.9,33.8,30.8,"used in last week","never used","used in last day","used in last decade","used in last day","used in last decade","used in last decade","No"
"train_0096","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",57.6,52.6,76.3,58.5,58.4,21.5,54,"used in last month","never used","used in last day","used in last day","used in last day","never used","used in last year","No"
"train_0097","25-34","male","University degree","Australia","Mixed-Black/Asian",47.8,59.7,73.1,61,58.4,50.4,82.6,"used in last day","used in last day","used in last week","used in last day","used in last week","used in last year","used in last day","No"
"train_0098","18-24","female","Left school at 17 years","USA","Mixed-Black/Asian",37.7,41.2,64.7,68.6,46,33.8,46.6,"used in last year","never used","used in last week","used in last day","used in last month","used in last month","never used","No"
"train_0099","25-34","male","Masters degree","Australia","Mixed-Black/Asian",63.7,39.4,52.7,45.6,58.4,42.8,30.8,"used in last week","never used","used in last day","never used","used in last day","never used","used in last year","No"
"train_0100","18-24","female","Some college or university, no certificate or degree","Australia","Asian",28.4,69.6,70.2,28.6,63.6,42.8,71.1,"used in last day","never used","used in last year","used in last week","used in last year","used in last year","used in last month","No"
"train_0101","25-34","male","Doctorate degree","Australia","Black",60.8,52.6,64.7,41.2,46,33.8,30.8,"used in last month","used over a decade ago","used in last week","used in last day","used in last day","used in last decade","used in last year","No"
"train_0102","18-24","male","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",60.8,45.4,43.6,32.5,71.1,33.8,82.6,"used in last week","used in last month","used in last day","used in last year","used in last month","never used","used in last year","No"
"train_0103","18-24","male","University degree","USA","Mixed-Black/Asian",50.6,52.6,60.2,30.6,56,56.5,71.1,"used in last day","never used","used in last week","never used","used in last week","never used","never used","No"
"train_0104","25-34","male","University degree","USA","Mixed-Black/Asian",57.6,64.7,52.7,36.8,73.5,50.4,62,"used in last month","never used","used in last day","used in last decade","used in last day","never used","used in last decade","No"
"train_0105","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",66.6,35.5,76.3,47.8,31.8,63,62,"used in last week","used in last year","used in last day","used in last day","used in last week","used in last month","used in last week","No"
"train_0106","25-34","male","Left school at 17 years","USA","Mixed-Black/Asian",46.2,57.3,64.7,56.3,68.9,63,62,"used in last week","used in last decade","used in last day","used in last week","used in last week","never used","used in last month","No"
"train_0107","18-24","male","University degree","Australia","Mixed-Black/Asian",42.8,54.9,64.7,47.8,58.4,21.5,38.8,"used in last week","never used","used in last week","used in last day","used in last week","used in last year","used in last week","No"
"train_0108","35-44","female","Professional certificate/ diploma","UK","Mixed-Black/Asian",75.2,52.6,45.7,49.8,76.1,70.5,100,"used in last day","never used","used in last day","used in last day","used in last month","used over a decade ago","used over a decade ago","No"
"train_0109","45-54","male","Professional certificate/ diploma","Australia","Mixed-Black/Asian",52,52.6,43.6,56.3,53.7,42.8,38.8,"used in last week","used over a decade ago","used in last day","used in last day","used in last day","used in last decade","used in last year","No"
"train_0110","35-44","female","Doctorate degree","USA","Mixed-Black/Asian",52,50.1,67.3,11,46,33.8,54,"used in last month","used over a decade ago","used in last day","used over a decade ago","used in last day","used over a decade ago","used in last month","No"
"train_0111","45-54","male","Left school before 16 years","Other","Mixed-Black/Asian",37.7,59.7,37.2,63.6,53.7,21.5,0,"used in last month","used over a decade ago","used in last week","used in last week","used in last month","never used","used in last year","No"
"train_0112","35-44","male","Professional certificate/ diploma","USA","Mixed-Black/Asian",60.8,57.3,60.2,41.2,37,70.5,62,"used in last week","used in last month","used in last day","used in last month","used in last week","used in last month","used in last day","No"
"train_0113","45-54","male","Masters degree","USA","Mixed-Black/Asian",46.2,37.7,45.7,32.5,47.9,80.9,62,"used in last year","never used","used in last day","never used","used in last week","never used","never used","No"
"train_0114","25-34","male","Masters degree","USA","Mixed-Black/Asian",26.3,57.3,30,45.6,66.4,21.5,30.8,"used in last month","never used","used in last day","never used","used in last month","never used","never used","No"
"train_0115","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",60.8,59.7,100,34.5,63.6,63,82.6,"used in last week","used in last year","used in last day","used in last day","used in last month","used in last month","used in last week","No"
"train_0116","65+","male","Doctorate degree","UK","Mixed-Black/Asian",52,54.9,60.2,47.8,71.1,42.8,46.6,"used in last day","never used","used in last day","used over a decade ago","used in last week","never used","never used","No"
"train_0117","45-54","male","University degree","Australia","Mixed-Black/Asian",69.7,76.6,67.3,22.2,26.3,63,82.6,"used in last day","used in last month","used in last day","used in last year","used in last day","used over a decade ago","used in last month","No"
"train_0118","25-34","male","Doctorate degree","Australia","Mixed-Black/Asian",35.8,62.3,47.9,47.8,63.6,42.8,38.8,"used in last year","used in last day","used in last day","used in last day","used in last day","used in last decade","used in last month","No"
"train_0119","25-34","male","University degree","USA","Mixed-Black/Asian",52,57.3,34.9,58.5,76.1,33.8,38.8,"used in last month","never used","used in last month","never used","used in last day","never used","never used","No"
"train_0120","55-64","female","Left school at 16 years","Australia","Mixed-Black/Asian",49.2,45.4,50.1,61,56,42.8,46.6,"used in last year","used in last decade","used in last day","used in last week","used in last day","used over a decade ago","used in last day","Yes"
"train_0121","35-44","female","Professional certificate/ diploma","USA","Mixed-Black/Asian",50.6,45.4,41.4,39,38.7,50.4,82.6,"used in last year","used in last decade","used in last day","used in last day","used in last day","used in last year","used in last day","No"
"train_0122","35-44","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",42.8,35.5,76.3,54.2,40.6,42.8,54,"used in last year","used in last day","used in last week","used in last month","used in last week","used in last decade","used in last day","No"
"train_0123","25-34","male","Professional certificate/ diploma","USA","Mixed-Black/Asian",42.8,47.6,30,49.8,44.1,63,0,"used in last year","used over a decade ago","used in last day","used in last decade","used in last week","never used","used in last day","No"
"train_0124","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",68.2,43.3,57.8,39,47.9,80.9,46.6,"used in last day","never used","used in last day","used in last day","used in last month","used in last decade","used in last day","No"
"train_0125","35-44","male","Professional certificate/ diploma","Australia","Mixed-Black/Asian",52,37.7,39.3,47.8,33.6,56.5,22.4,"used in last month","used in last week","used in last day","used in last day","used in last week","never used","never used","No"
"train_0126","45-54","male","Left school at 16 years","USA","Mixed-Black/Asian",54.7,79.6,34.9,68.6,47.9,80.9,71.1,"used in last day","used over a decade ago","used in last decade","used in last decade","used in last month","never used","used in last year","No"
"train_0127","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",35.8,72.2,79.8,76.2,38.7,50.4,38.8,"used in last week","never used","used in last week","used in last day","used in last month","used in last year","used in last decade","No"
"train_0128","18-24","male","Masters degree","USA","Other",60.8,54.9,43.6,51.9,60.9,42.8,46.6,"used in last week","never used","used in last week","used in last decade","used in last week","never used","never used","No"
"train_0129","25-34","male","Masters degree","Australia","Mixed-Black/Asian",46.2,67,60.2,13.4,47.9,63,82.6,"used in last week","used in last year","used in last day","used in last day","used in last month","used in last week","used in last decade","Yes"
"train_0130","18-24","female","Some college or university, no certificate or degree","UK","Mixed-Black/Asian",39.7,50.1,92.7,61,28.1,63,100,"used in last week","used in last day","used in last week","used in last day","used in last week","never used","never used","No"
"train_0131","25-34","male","Masters degree","Australia","Mixed-Black/Asian",26.3,62.3,64.7,47.8,49.9,42.8,54,"used in last day","used in last year","used in last day","used in last year","never used","never used","used in last month","No"
"train_0132","25-34","male","Masters degree","Australia","Mixed-Black/Asian",54.7,39.4,57.8,41.2,33.6,56.5,62,"used in last day","used in last decade","used in last week","used in last month","used in last week","used in last decade","used in last day","No"
"train_0133","35-44","male","University degree","USA","Mixed-Black/Asian",68.2,45.4,52.7,58.5,58.4,50.4,62,"used in last day","never used","used in last day","never used","used in last week","never used","used over a decade ago","No"
"train_0134","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",50.6,64.7,52.7,34.5,44.1,42.8,62,"used in last month","never used","used in last decade","used in last day","used in last week","used in last year","used in last day","No"
"train_0135","25-34","female","University degree","USA","Mixed-Black/Asian",47.8,45.4,25.8,54.2,51.8,33.8,22.4,"used in last week","never used","used in last week","never used","used in last week","never used","never used","No"
"train_0136","18-24","female","Professional certificate/ diploma","USA","Mixed-Black/Asian",64.9,29,47.9,22.2,30,63,54,"used in last month","never used","used in last month","used in last week","used in last week","never used","used in last month","Yes"
